episode,total_reward,rps,avg_reward_100,avg_rps_100,epsilon,loss
390,2.8472,0.0569,5.8129,0.1163,0.5693,0.397756
391,5.2943,0.1059,5.823,0.1165,0.5685,0.371093
392,2.1343,0.0427,5.8143,0.1163,0.5676,0.478661
393,4.6276,0.0926,5.8146,0.1163,0.5668,0.336852
394,3.3415,0.0668,5.8078,0.1162,0.5659,0.404679
395,4.6593,0.0932,5.8319,0.1166,0.5651,0.394046
396,20.5792,0.4116,6.0086,0.1202,0.5642,0.39614
397,4.5581,0.0912,6.0079,0.1202,0.5634,0.325222
398,7.5982,0.152,5.9914,0.1198,0.5625,0.362321
399,3.5023,0.07,5.9797,0.1196,0.5617,0.439758
400,3.0161,0.0603,5.9824,0.1196,0.5608,0.356979
401,7.4639,0.1493,6.0183,0.1204,0.56,0.407089
402,3.4407,0.0688,6.0193,0.1204,0.5591,0.411202
403,5.4744,0.1095,6.0386,0.1208,0.5583,0.416328
404,3.3464,0.0669,6.0238,0.1205,0.5574,0.428867
405,9.1574,0.1831,5.9905,0.1198,0.5566,0.407986
406,3.216,0.0643,5.9737,0.1195,0.5557,0.419006
407,7.5462,0.1509,6.006,0.1201,0.5549,0.354909
408,5.4685,0.1094,6.031,0.1206,0.554,0.37874
409,2.5475,0.051,6.0205,0.1204,0.5532,0.44489
410,6.1931,0.1239,6.0297,0.1206,0.5523,0.393949
411,4.2481,0.085,6.029,0.1206,0.5515,0.384403
412,5.0444,0.1009,6.0341,0.1207,0.5506,0.381639
413,8.7643,0.1753,6.0948,0.1219,0.5498,0.437639
414,6.6743,0.1335,6.1214,0.1224,0.5489,0.418914
415,4.9725,0.0994,6.1372,0.1227,0.5481,0.405034
416,6.4361,0.1287,6.1151,0.1223,0.5472,0.403869
417,5.285,0.1057,6.1356,0.1227,0.5464,0.467073
418,3.2515,0.065,6.1354,0.1227,0.5455,0.394363
419,7.0902,0.1418,6.1705,0.1234,0.5447,0.410559
420,4.4623,0.0892,6.1856,0.1237,0.5438,0.458354
421,7.3121,0.1462,6.2382,0.1248,0.543,0.363881
422,3.8204,0.0764,6.1578,0.1232,0.5421,0.457728
423,7.548,0.151,6.1691,0.1234,0.5413,0.444489
424,4.0975,0.0819,6.112,0.1222,0.5404,0.39159
425,5.172,0.1034,6.099,0.122,0.5396,0.403384
426,13.3284,0.2666,6.202,0.124,0.5387,0.464323
427,4.1101,0.0822,6.1616,0.1232,0.5379,0.448891
428,2.9673,0.0593,6.1379,0.1228,0.537,0.430062
429,2.8161,0.0563,6.1395,0.1228,0.5362,0.426434
430,3.1189,0.0624,6.1135,0.1223,0.5353,0.468608
431,3.8251,0.0765,6.0814,0.1216,0.5345,0.363101
432,18.9292,0.3786,6.2472,0.1249,0.5336,0.464103
433,4.8998,0.098,6.2472,0.1249,0.5328,0.445836
434,2.8786,0.0576,6.2486,0.125,0.5319,0.427406
435,3.7168,0.0743,6.1072,0.1221,0.5311,0.501251
436,2.8141,0.0563,6.0427,0.1209,0.5302,0.387879
437,5.6179,0.1124,6.0389,0.1208,0.5294,0.445258
438,3.5125,0.0702,6.0213,0.1204,0.5285,0.400463
439,4.8108,0.0962,5.9615,0.1192,0.5277,0.440579
440,4.4114,0.0882,5.9801,0.1196,0.5268,0.510525
